Rank,Artist,Total Score,Songs Count,Chart Positions
1,Morgan Wallen,402,7,"9, 16, 19, 44, 55, 75, 87"
2,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",348,4,"1, 10, 20, 25"
3,Benson Boone,230,3,"17, 26, 30"
4,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",193,2,"4, 5"
5,Shaboozey,177,2,"12, 13"
